city,model,year,season,tas_c
Chicago,GFDL-ESM4,1904,winter,-4.984366666666666
Chicago,GFDL-ESM4,1905,summer,20.5522
Chicago,GFDL-ESM4,1905,winter,-3.7032666666666665
Chicago,GFDL-ESM4,1906,summer,19.904633333333333
Chicago,GFDL-ESM4,1906,winter,-1.8002666666666667
Chicago,GFDL-ESM4,1907,summer,19.771466666666665
Chicago,GFDL-ESM4,1907,winter,-1.0
Chicago,GFDL-ESM4,1908,summer,19.4559
Chicago,GFDL-ESM4,1908,winter,-2.7338
Chicago,GFDL-ESM4,1909,summer,19.458233333333332
Chicago,GFDL-ESM4,1909,winter,-5.2058
Chicago,GFDL-ESM4,1910,summer,20.10643333333333
Chicago,GFDL-ESM4,1910,winter,-4.179833333333334
Chicago,GFDL-ESM4,1911,summer,20.252566666666667
Chicago,GFDL-ESM4,1911,winter,-2.8145333333333333
Chicago,GFDL-ESM4,1912,summer,19.168066666666665
Chicago,GFDL-ESM4,1912,winter,-4.2971
Chicago,GFDL-ESM4,1913,summer,19.840533333333337
Chicago,GFDL-ESM4,1913,winter,-4.4295
Chicago,GFDL-ESM4,1914,summer,19.3023
Chicago,GFDL-ESM4,1914,winter,-3.5874666666666664
Chicago,GFDL-ESM4,1915,summer,19.726233333333333
Chicago,GFDL-ESM4,1915,winter,-3.9644666666666666
Chicago,GFDL-ESM4,1916,summer,20.377399999999998
Chicago,GFDL-ESM4,1916,winter,-0.43606666666666677
Chicago,GFDL-ESM4,1917,summer,21.181366666666666
Chicago,GFDL-ESM4,1917,winter,-1.7428000000000001
Chicago,GFDL-ESM4,1918,summer,19.446533333333335
Chicago,GFDL-ESM4,1918,winter,-3.5538333333333334
Chicago,GFDL-ESM4,1919,summer,20.229266666666664
Chicago,GFDL-ESM4,1919,winter,-4.713433333333334
Chicago,GFDL-ESM4,1920,summer,21.19943333333333
Chicago,GFDL-ESM4,1920,winter,-1.3453
Chicago,GFDL-ESM4,1921,summer,21.143866666666668
Chicago,GFDL-ESM4,1921,winter,-5.488266666666667
Chicago,GFDL-ESM4,1922,summer,18.948233333333334
Chicago,GFDL-ESM4,1922,winter,-3.310033333333333
Chicago,GFDL-ESM4,1923,summer,20.3401
Chicago,GFDL-ESM4,1923,winter,-4.8028
Chicago,GFDL-ESM4,1924,summer,20.888066666666667
Chicago,GFDL-ESM4,1924,winter,-4.652633333333333
Chicago,GFDL-ESM4,1925,summer,20.6943
Chicago,GFDL-ESM4,1925,winter,-3.6250666666666667
Chicago,GFDL-ESM4,1926,summer,20.5934
Chicago,GFDL-ESM4,1926,winter,-5.0566
Chicago,GFDL-ESM4,1927,summer,21.581933333333335
Chicago,GFDL-ESM4,1927,winter,-3.8329
Chicago,GFDL-ESM4,1928,summer,20.737233333333332
Chicago,GFDL-ESM4,1928,winter,-2.8363333333333327
Chicago,GFDL-ESM4,1929,summer,20.811833333333336
Chicago,GFDL-ESM4,1929,winter,-1.0136666666666667
Chicago,GFDL-ESM4,1930,summer,19.5654
Chicago,GFDL-ESM4,1930,winter,-3.0329
Chicago,GFDL-ESM4,1931,summer,21.5919
Chicago,GFDL-ESM4,1931,winter,-3.5795333333333335
Chicago,GFDL-ESM4,1932,summer,20.442433333333334
Chicago,GFDL-ESM4,1932,winter,-0.9409333333333333
Chicago,GFDL-ESM4,1933,summer,20.442899999999998
Chicago,GFDL-ESM4,1933,winter,-2.0204666666666666
Chicago,GFDL-ESM4,1934,summer,20.6268
Chicago,GFDL-ESM4,1934,winter,-2.961866666666667
Chicago,GFDL-ESM4,1935,summer,21.138433333333335
Chicago,GFDL-ESM4,1935,winter,-4.295466666666667
Chicago,GFDL-ESM4,1936,summer,18.747866666666667
Chicago,GFDL-ESM4,1936,winter,-4.125633333333333
Chicago,GFDL-ESM4,1937,summer,20.1861
Chicago,GFDL-ESM4,1937,winter,-2.7442333333333333
Chicago,GFDL-ESM4,1938,summer,21.326866666666664
Chicago,GFDL-ESM4,1938,winter,-3.519766666666667
Chicago,GFDL-ESM4,1939,summer,21.57553333333333
Chicago,GFDL-ESM4,1939,winter,-5.186466666666667
Chicago,GFDL-ESM4,1940,summer,20.627966666666666
Chicago,GFDL-ESM4,1940,winter,-5.509566666666667
Chicago,GFDL-ESM4,1941,summer,19.899866666666668
Chicago,GFDL-ESM4,1941,winter,-4.4309666666666665
Chicago,GFDL-ESM4,1942,summer,19.637
Chicago,GFDL-ESM4,1942,winter,-3.2203666666666666
Chicago,GFDL-ESM4,1943,summer,20.439033333333334
Chicago,GFDL-ESM4,1943,winter,-6.576833333333333
Chicago,GFDL-ESM4,1944,summer,20.380466666666667
Chicago,GFDL-ESM4,1944,winter,-7.796600000000001
Chicago,GFDL-ESM4,1945,summer,20.3524
Chicago,GFDL-ESM4,1945,winter,-4.751366666666667
Chicago,GFDL-ESM4,1946,summer,19.422233333333335
Chicago,GFDL-ESM4,1946,winter,-8.001433333333333
Chicago,GFDL-ESM4,1947,summer,19.96036666666667
Chicago,GFDL-ESM4,1947,winter,-6.584533333333333
Chicago,GFDL-ESM4,1948,summer,20.93016666666667
Chicago,GFDL-ESM4,1948,winter,-6.676966666666666
Chicago,GFDL-ESM4,1949,summer,20.6915
Chicago,GFDL-ESM4,1949,winter,-3.7545333333333333
Chicago,GFDL-ESM4,1950,summer,20.490266666666667
Chicago,GFDL-ESM4,1950,winter,-5.073066666666667
Chicago,GFDL-ESM4,1951,summer,21.625566666666668
Chicago,GFDL-ESM4,1951,winter,-1.5837666666666668
Chicago,GFDL-ESM4,1952,summer,20.8036
Chicago,GFDL-ESM4,1952,winter,-4.0148
Chicago,GFDL-ESM4,1953,summer,19.1065
